shiptype,ton,length
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,39
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,38
Cargo ships,459,37
Cargo ships,459,37
Cargo ships,459,36
Cargo ships,459,36
Cargo ships,459,35
Cargo ships,459,35
Cargo ships,459,35
Cargo ships,459,35
Cargo ships,459,35
Cargo ships,459,34
Cargo ships,459,33
Cargo ships,459,33
Cargo ships,459,32
Cargo ships,459,19
Cargo ships,459,6
Cargo ships,459,6
Cargo ships,459,5
Cargo ships,486,50
Cargo ships,486,50
Cargo ships,486,49
Cargo ships,486,48
Cargo ships,486,46
Cargo ships,486,46
Cargo ships,486,46
Cargo ships,486,45
Cargo ships,486,45
Cargo ships,486,45
Cargo ships,486,45
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,44
Cargo ships,486,43
Cargo ships,486,43
Cargo ships,486,43
Cargo ships,486,42
Cargo ships,486,42
Cargo ships,486,42
Cargo ships,486,42
Cargo ships,486,41
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,40
Cargo ships,486,37
Cargo ships,486,36
Cargo ships,486,36
Cargo ships,486,36
Cargo ships,486,36
Cargo ships,486,35
Cargo ships,486,34
Cargo ships,486,34
Cargo ships,486,34
Cargo ships,486,33
Cargo ships,486,32
Cargo ships,486,30
Cargo ships,486,28
Cargo ships,486,27
Cargo ships,486,27
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,20
Cargo ships,486,8
Cargo ships,513,50
Cargo ships,513,49
Cargo ships,513,48
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,45
Cargo ships,513,44
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,43
Cargo ships,513,42
Cargo ships,513,42
Cargo ships,513,42
Cargo ships,513,41
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,40
Cargo ships,513,38
Cargo ships,513,38
Cargo ships,513,37
Cargo ships,513,36
Cargo ships,513,35
Cargo ships,513,35
Cargo ships,513,35
Cargo ships,513,35
Cargo ships,513,35
Cargo ships,513,33
Cargo ships,513,32
Cargo ships,513,32
Cargo ships,513,30
Cargo ships,513,30
Cargo ships,513,30
Cargo ships,513,30
Cargo ships,513,28
Cargo ships,513,28
Cargo ships,513,27
Cargo ships,513,25
Cargo ships,513,25
Cargo ships,513,5
Cargo ships,513,3
Cargo ships,542,55
Cargo ships,542,55
Cargo ships,542,50
Cargo ships,542,50
Cargo ships,542,50
Cargo ships,542,50
Cargo ships,542,49
Cargo ships,542,48
Cargo ships,542,48
Cargo ships,542,47
Cargo ships,542,47
Cargo ships,542,47
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,46
Cargo ships,542,45
Cargo ships,542,45
Cargo ships,542,45
Cargo ships,542,45
Cargo ships,542,45
Cargo ships,542,44
Cargo ships,542,44
Cargo ships,542,44
Cargo ships,542,43
Cargo ships,542,43
Cargo ships,542,42
Cargo ships,542,42
Cargo ships,542,42
Cargo ships,542,42
Cargo ships,542,41
Cargo ships,542,41
Cargo ships,542,41
Cargo ships,542,41
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,40
Cargo ships,542,39
Cargo ships,542,36
Cargo ships,542,36
Cargo ships,542,34
Cargo ships,542,33
Cargo ships,542,33
Cargo ships,542,30
